Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Predicted Risk Category,High %,Low %,Moderate %,Risk Score,Phone Number,Address
E0058,30,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,+1-237-595-7729x300,"401 Aaron Pine
Port Andreashire, NT P5E 7B6"
E0059,111,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.24,+1-313-387-1063x2328,"526 Wagner Flat
Ryanshire, NT S1M9K1"
E0060,24,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.07,221.760.4087,"3423 Robert Cliff Apt. 395
West Kyleborough, QC C3A2S9"
E0061,81,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.18,+1-384-227-9316x57499,"8351 Jane Terrace Suite 077
Bennettstad, NT G6S 3E8"
E0062,124,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.37,001-395-696-6008x18898,"83701 Cynthia Via
New Jenniferstad, NL Y1J8T5"
E0063,83,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.25,6508567685,"7959 Miller Harbors Apt. 135
Chaveztown, MB P7M7K6"
E0064,115,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.25,+1-297-520-2854x688,"92792 Johnson Lock
Lake Theresa, ON R5X 2G2"
E0065,81,None,None,None,Flagged,Fail,Moderate,0.0,0.0,1.0,2.24,001-676-946-1554x66891,"383 Allen Motorway
Laurahaven, SK C8H 8A5"
E0066,15,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.05,+1-422-896-1079x586,"3149 Kyle Mountain
Port Howardborough, SK G9G 8S3"
E0067,192,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.58,434-835-9284,"7308 Evans Ridge
Josephborough, NU L5J 1A4"
E0068,47,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,582-576-5032x566,"4332 Ricardo Rue
Josephhaven, NB R9X3S2"
E0069,166,None,Within past 1-3 years,None,None,Pass,Moderate,0.0,0.0,1.0,2.5,470-666-9639,"28844 Johnson Shoal Suite 368
North April, AB Y4J 3T1"
E0070,184,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.39,+1-468-641-3130,"84509 Alvarado Pike
Dunlapbury, PE V6G 3G8"
E0071,170,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.36,001-491-223-5738x1189,"10940 Stephen Mall
Brightland, NU L7B 9J2"
E0072,161,None,None,Minor,None,Fail,Moderate,0.0,0.0,1.0,2.48,+1-623-297-9142,"94905 Preston Light
West Erinville, MB G2C9L4"
E0073,146,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.44,670.817.6961x21068,"71109 Heather Circles Apt. 331
Port Drew, MB M1X5H4"
E0074,41,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.12,6532135555,"701 Elizabeth Path Suite 235
New Stephanieberg, NB V1B8M7"
E0075,180,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.38,(221)775-5837x13010,"2384 Roberts Avenue Apt. 147
Hectorhaven, QC N5H 3H9"
E0076,60,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.18,610-610-7876,"041 Katie Key
Port Ericburgh, BC J6N4V9"
E0077,120,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.36,+1-927-561-2783x1728,"519 Irwin Branch Suite 032
Ethanborough, SK Y3E 8T9"
E0078,181,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.54,657.310.3182,"43148 Autumn Parks
South Annamouth, AB V4V3X6"
E0079,168,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.36,001-243-736-1372,"731 Gonzales Well
South Amberborough, NU L3K7S3"
E0080,188,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.56,855.741.4772,"47068 Everett Green
Adamschester, NS B7T7S2"
E0081,48,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.12,5445744324,"635 Jason Road Apt. 531
South Kevinchester, AB X2L3R7"
E0082,194,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.41,(490)230-2781,"322 Chen Mews Suite 351
New Nataliechester, MB V3N9B4"
E0083,57,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.13,(866)855-6655x684,"299 Aguilar River
East Brandon, QC H1G8L3"
E0084,196,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.59,294-375-9818x424,"7728 King Island
Sabrinaborough, NU Y4S6Y2"
E0085,17,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.05,877-273-1642,"021 Jennifer Harbors
South Cindyhaven, BC B5P4H1"
E0086,98,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.22,001-907-525-7331,"79585 Damon Inlet Apt. 442
New Jacobport, NS H4C 7B2"
E0087,48,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.12,383.336.9389,"27678 Hart Extension
New Debrafurt, ON L5H6A6"
E0088,178,None,None,None,None,None,Low,0.0,0.9792243334722623,0.02077566652773754,1.38,5066576644,"131 Joshua Motorway Suite 339
South Meganmouth, NS S3P4A3"
E0089,175,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.37,544.980.8678x549,"4468 Barker Place
Waynehaven, NL L6G9E9"
E0090,151,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.32,001-844-403-9137x7704,"834 Teresa Estates
Whitestad, QC A4V 5K7"
E0091,32,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,887.452.5463,"637 Clark Squares
Port Aaronfort, SK C5R 7A1"
E0092,18,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.06,881-667-3461x9058,"465 Evans Alley
Port Kenneth, PE P4P6A1"
E0093,123,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.27,306.847.3213x51908,"21775 Peters Fall Suite 826
North Benjaminburgh, NS B5M3X5"
E0094,166,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.35,884.860.6197,"0928 Joseph Summit
West Alexis, NL V7C9X6"
E0095,71,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.16,001-661-977-3808,"849 Tucker Loaf Suite 308
Phyllisville, AB M6C7X3"
E0096,74,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.17,463.803.2505,"497 Willie Center Suite 733
Scottbury, YT R7H2A6"
E0097,67,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.15,905.743.1288x036,"74213 Richard Mountain
Hernandezmouth, NU T2B2M6"
E0098,197,None,Within past 1-3 years,Major,None,Pass,Moderate,0.0,0.0,1.0,2.59,+1-246-830-5345x925,"91465 Julie Roads
Ayalaside, AB T1S 9N6"
E0099,13,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.04,501-728-7889,"7999 Katrina Freeway Suite 140
East Tonyaville, MB G2L 9B2"
E0100,107,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.23,+1-550-341-5064x42343,"99765 Matthew Fields
Kellymouth, NT H4S 5P5"
E0101,117,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.25,001-889-612-3125,"6805 Lara Corners Apt. 069
Jamesville, NU J4K6A9"
E0102,128,None,None,Major,None,Pass,Moderate,0.0,0.0,1.0,2.38,+1-930-891-8218x4164,"9680 Frank Pines Apt. 548
New Justin, NL E9M2P2"
E0103,131,None,Within past 1-3 years,Minor,None,Pass,Moderate,0.0,0.0,1.0,2.39,(735)840-0515x4296,"456 Kevin Loaf
Tranton, AB S4A6T3"
E0104,133,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.29,540.225.7312x41047,"03145 Crane Well
Angelafurt, MB B2C2L2"
E0105,43,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,809.609.6355,"6394 Barry Squares Suite 250
West Renee, MB L3L3P1"
E0106,46,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,(961)508-1681,"72985 Christopher Isle
East Teresa, NL H2S 2R6"
E0107,185,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.39,701.646.2314x5831,"5289 Patel Mountains Apt. 300
West Michael, YT V1E 4V5"
E0108,30,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.09,(320)420-2501x0796,"17250 Knight Brook
East Melissa, YT N1A 7V7"
E0109,117,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.35,(421)669-2371x6592,"044 Daniel Park
Wagnerside, NB Y3Y 8X1"
E0110,173,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.37,+1-626-861-3248x4967,"537 Dorsey Springs
North Philip, NS M6T3A3"
E0111,70,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.16,(471)501-2883,"301 Debra Cape Apt. 236
North Jaimeborough, NS R2A 2K1"
E0112,59,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.18,(235)883-6115x359,"51312 Powell Ville
South John, BC J1Y8V4"
E0113,162,None,None,None,Flagged,Fail,Moderate,0.0,0.0,1.0,2.49,234-649-2449x92137,"883 Matthew Mews Apt. 382
Port April, NU R2E 1R1"
E0114,175,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.37,761.313.7558x7861,"19751 Stephanie Stream
West Robert, BC K6E7E1"
E0115,20,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.06,868-414-5403x4037,"822 David Locks Suite 723
West Stephanie, NL R6K9R5"
E0116,161,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.34,305.523.7286,"85427 Jaime Ports Apt. 103
Port Tamaraborough, QC Y7Y 5M4"
E0117,195,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.41,3254425859,"5384 Mary Creek
Obrienshire, BC K5T2L6"
E0118,154,None,Within past year,None,None,Pass,Moderate,0.0,0.0,1.0,2.46,+1-439-642-4872x9180,"683 Wilson Unions Suite 702
West Davidfort, NL T8J 5B3"
E0119,21,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.06,656-980-2968x5883,"286 Kelly Points Suite 785
Lake Cynthiamouth, PE R4A2A3"
E0120,180,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.38,+1-452-799-5555x84166,"13363 Francisco Summit Suite 696
Port Tiffany, SK Y8R 5K3"
E0121,168,None,None,None,Flagged,Fail,Moderate,0.0,0.0,1.0,2.5,215.610.8631,"7446 Katelyn Spur
Port Jamieburgh, NL T1V5P6"
E0122,192,None,Within past year,None,None,Pass,Moderate,0.0,0.0,1.0,2.58,362.802.3041,"087 White Drive Suite 380
South Mariemouth, PE M4K 6C9"
E0123,23,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.07,8242576158,"865 Chapman Streets
Williamsberg, NL R2T 2R3"
E0124,113,None,Within past 1-3 years,None,None,Pass,Moderate,0.0,0.0,1.0,2.34,(364)573-6628x5735,"893 Lam Tunnel Suite 904
North Lauren, NS K1A 4S3"
E0125,140,None,None,Minor,Flagged,Pass,Moderate,0.0,0.0,1.0,2.42,4816663693,"6916 Rachel Hills Suite 177
Powelltown, NS M5X3E4"
E0126,28,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,001-705-756-8292x68215,"2430 Jones Spurs Apt. 939
North Dawn, AB C6A 1T1"
E0127,99,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.3,(410)788-0943,"98660 Jennifer Rapid
Bennettchester, QC T7X 3R5"
E0128,191,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.57,(699)857-0490,"135 Williams Vista
East Taylormouth, YT J8L9R8"
E0129,153,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.46,+1-324-798-0000x521,"713 Padilla Garden Apt. 671
East Reginald, NU R3V 3T3"
E0130,180,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.38,+1-701-923-0436x478,"5303 Lopez Radial
West Dylan, BC M8N 2Y6"
E0131,166,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.35,+1-359-688-9793x67474,"2491 Bennett Station Suite 708
South Connieberg, NT C4A7K8"
E0132,133,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.4,001-609-480-0569x8035,"90999 Rocha Trail
North Manuel, BC Y3A 9T5"
E0133,32,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,567-568-5810x1457,"7833 Duncan Pass
Vanessamouth, BC A1R8J5"
E0134,20,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.06,+1-383-679-1965x11160,"2330 Ronald Divide
New Stephaniefurt, MB K5T 6X1"
E0135,14,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.04,(634)972-8333,"9079 Bell Landing Suite 301
North Kayla, NS N5Y2V3"
E0136,119,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.26,(639)509-5120x4693,"73183 Laura Mountain Apt. 250
East Laura, SK L5Y 5P1"
E0137,37,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.09,963.512.3221x3178,"7324 Debra Track Apt. 649
South Lori, ON G9S9V7"
E0138,43,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.13,(800)616-8514x931,"14746 Lisa Pass
Abbotttown, ON E9R2L8"
E0139,78,None,None,None,Flagged,Fail,Moderate,0.0,0.0,1.0,2.23,938-703-4919,"641 Gomez Isle
Port Erinberg, ON Y5N 7C4"
E0140,29,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,(320)954-3670,"115 Meza Expressway Apt. 621
Lauraville, PE E8G5Y2"
E0141,16,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.05,974-903-9945x88301,"2881 Clark Court
South Glenda, QC G9P5R4"
E0142,146,None,None,Minor,Flagged,Fail,Moderate,0.0,0.0,1.0,2.44,(355)741-6603x62022,"291 Jones Crossroad
Michelleborough, QC R9L 3M6"
E0143,69,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.21,8026736910,"244 Rebecca Park Suite 733
Meghanland, SK G4K 2E5"
E0144,20,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.06,7362074562,"089 Teresa Key
West Shelby, AB B5S9Y3"
E0145,173,Major,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.52,298.489.4711x36972,"4654 Sandra Meadow Apt. 050
Lake Lori, NL H6J1M1"
E0146,196,None,Within past year,None,None,Pass,Moderate,0.0,0.0,1.0,2.59,001-806-297-0240x09077,"2078 Thomas Avenue Apt. 053
Jamesshire, NT J7P 9J2"
E0147,74,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.17,(203)628-9687x57460,"7875 Mcmahon Alley Apt. 172
Kyleberg, YT X5B6S5"
E0148,42,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.13,(268)671-0991x40334,"87290 Garza Pass Suite 863
Oliviachester, QC R6H 3J3"
E0149,76,None,Within past 1-3 years,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.23,(235)377-9794x348,"8731 Novak Fields Suite 464
East Matthewside, NL N7Y 6K7"
E0150,37,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.11,327.482.2077,"34565 Joseph Way
Lake Annetteton, NT R2V1L5"
E0151,142,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.3,(716)396-4554,"552 John Tunnel
West Amberland, QC M2M 7P6"
E0152,36,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.09,771-225-9610x5438,"090 David Shores Apt. 402
Sheltonberg, NT S6G8N5"
E0153,175,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.37,734.395.8653,"604 Wilson Dale Suite 602
Lake Michelle, NU J2K 6T7"
E0154,60,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.14,221.258.3747,"4807 Megan Expressway
Rodriguezfurt, NL J3N 8J2"
E0155,31,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,+1-973-279-9817x3240,"39901 Arthur Lakes Apt. 226
West Carrie, YT G5C 5L1"
E0156,167,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.35,(953)743-4745x2793,"7719 Kevin Inlet
West Brendanborough, MB N4C9B2"
E0157,110,None,None,Minor,None,Pass,Moderate,0.0,0.0,1.0,2.33,773.565.4820x4413,"1258 William Island Apt. 993
Byrdburgh, NT X8R 7X2"
E0158,188,Minor,None,None,None,None,Moderate,0.0,0.0,1.0,2.56,001-857-584-3274x2788,"4238 Torres Mills
Smithside, BC T9N 9P8"
E0159,112,None,Within past year,None,None,Pass,Moderate,0.0,0.0,1.0,2.34,985-399-6495x2862,"058 Richard Streets Apt. 491
Elizabethfurt, PE Y5E 7L1"
E0160,105,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.32,6607096315,"22770 Lisa Canyon
Jerryborough, PE N2Y 5R6"
